lr_groups,iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.001, 0.001, 0.001, 0.001]",0,False,,,1,15c6ad093b4c4a02a230f00c7a4af503,2020-10-20_04-48-54,1603169334,86.90571069717407,86.90571069717407,392,d83e38022e39,192.168.99.4,86.90571069717407,0,1,00020,"20_hypercubes=heat_para_4d,seed=1",87532,4.700317859649658,150,14.602171897888184,300.0,0.04112052209675312,0.0007145091689502199,0.15899897436300914,0.02067229082187017,0.026730304318324172,0.04112052209675312,0.0007145091689502199,0.15899897436300914,0.02067229082187017,0,0,0,0,82.20451998710632,250,82.20451998710632,250.0,53.493162139892576,2.513067094564438,4.887419822692871,0.9905206034183502,1.5852656227157762,53.493162139892576,2.513067094564438,4.887419822692871,0.9905206034183502,0,0,0,0,9.901854038238525,150,9.901854038238525,150.0,50.527897389729816,0.6967362244923909,6.773224261601766,0.8319117915630341,0.8347072687429953
"[0.001, 0.001, 0.001, 0.001]",1,False,,,2,15c6ad093b4c4a02a230f00c7a4af503,2020-10-20_04-50-20,1603169420,86.78647518157959,173.69218587875366,392,d83e38022e39,192.168.99.4,173.69218587875366,0,2,00020,"20_hypercubes=heat_para_4d,seed=1",87532,4.643233299255371,150,19.245405197143555,450.0,0.033724024146795276,0.0006548742096250256,0.14316243638594944,0.019225014932453634,0.025590510147807246,0.033724024146795276,0.0006548742096250256,0.14316243638594944,0.019225014932453634,0,0,0,0,82.14232325553894,250,164.34684324264526,500.0,50.8809875793457,2.791315410614014,4.816972089767456,1.0396141896247864,1.6707230203160588,50.8809875793457,2.513067094564438,4.816972089767456,0.9905206034183502,0,1,0,1,9.901854038238525,150,9.901854038238525,150.0,50.527897389729816,0.6967362244923909,6.773224261601766,0.8319117915630341,0.8347072687429953
"[0.001, 0.001, 0.001, 0.001]",2,False,,,3,15c6ad093b4c4a02a230f00c7a4af503,2020-10-20_04-51-47,1603169507,86.65111875534058,260.34330463409424,392,d83e38022e39,192.168.99.4,260.34330463409424,0,3,00020,"20_hypercubes=heat_para_4d,seed=1",87532,4.612350225448608,150,23.857755422592163,600.0,0.021425355784595014,0.0004092051963865136,0.1155696972211202,0.015426435278107723,0.020228820934165035,0.021425355784595014,0.0004092051963865136,0.1155696972211202,0.015426435278107723,0,0,0,0,82.0380117893219,250,246.38485503196716,750.0,50.85460366821289,2.7922075662612915,4.817256608963013,1.0395750517845155,1.6709899958591288,50.85460366821289,2.513067094564438,4.816972089767456,0.9905206034183502,0,2,1,2,9.901854038238525,150,9.901854038238525,150.0,50.527897389729816,0.6967362244923909,6.773224261601766,0.8319117915630341,0.8347072687429953
"[0.001, 0.001, 0.001, 0.001]",3,False,,,4,15c6ad093b4c4a02a230f00c7a4af503,2020-10-20_04-53-14,1603169594,86.88361930847168,347.2269239425659,392,d83e38022e39,192.168.99.4,347.2269239425659,0,4,00020,"20_hypercubes=heat_para_4d,seed=1",87532,4.6519763469696045,150,28.509731769561768,750.0,0.017435270560284457,0.0003158284624805674,0.10423971643050511,0.013721241975824038,0.017771563309978314,0.017435270560284457,0.0003158284624805674,0.10423971643050511,0.013721241975824038,0,0,0,0,82.23058247566223,250,328.6154375076294,1000.0,50.774763046264646,2.7889984979629516,4.812943916320801,1.0391977071762084,1.6700294901476895,50.774763046264646,2.513067094564438,4.812943916320801,0.9905206034183502,0,3,0,3,9.901854038238525,150,9.901854038238525,150.0,50.527897389729816,0.6967362244923909,6.773224261601766,0.8319117915630341,0.8347072687429953
"[0.001, 0.001, 0.001, 0.001]",4,False,,,5,15c6ad093b4c4a02a230f00c7a4af503,2020-10-20_04-54-41,1603169681,86.86306047439575,434.08998441696167,392,d83e38022e39,192.168.99.4,434.08998441696167,0,5,00020,"20_hypercubes=heat_para_4d,seed=1",87532,4.69688868522644,150,33.20662045478821,900.0,0.01680161149551471,0.00030807026002245644,0.10234941532214482,0.013506799265742301,0.0175519303788061,0.01680161149551471,0.00030807026002245644,0.10234941532214482,0.013506799265742301,0,0,0,0,82.16519522666931,250,410.7806327342987,1250.0,50.771511810302734,2.787908278465271,4.81368918800354,1.0387621741294861,1.6697030509839978,50.771511810302734,2.513067094564438,4.812943916320801,0.9905206034183502,0,4,1,4,9.901854038238525,150,9.901854038238525,150.0,50.527897389729816,0.6967362244923909,6.773224261601766,0.8319117915630341,0.8347072687429953
"[0.001, 0.001, 0.001, 0.001]",5,False,,,6,15c6ad093b4c4a02a230f00c7a4af503,2020-10-20_04-56-08,1603169768,86.77494311332703,520.8649275302887,392,d83e38022e39,192.168.99.4,520.8649275302887,0,6,00020,"20_hypercubes=heat_para_4d,seed=1",87532,4.699607610702515,150,37.90622806549072,1050.0,0.014092077172050873,0.00025669023181156567,0.09344229519367218,0.012307613479594389,0.016021555224495707,0.014092077172050873,0.00025669023181156567,0.09344229519367218,0.012307613479594389,0,0,0,0,82.07456111907959,250,492.8551938533783,1500.0,50.779835464477536,2.7897138843536378,4.814359851837159,1.0393035163879394,1.6702436601746578,50.771511810302734,2.513067094564438,4.812943916320801,0.9905206034183502,1,5,2,5,9.901854038238525,150,9.901854038238525,150.0,50.527897389729816,0.6967362244923909,6.773224261601766,0.8319117915630341,0.8347072687429953
"[0.001, 0.001, 0.001, 0.001]",6,False,,,7,15c6ad093b4c4a02a230f00c7a4af503,2020-10-20_04-57-34,1603169854,86.79807686805725,607.663004398346,392,d83e38022e39,192.168.99.4,607.663004398346,0,7,00020,"20_hypercubes=heat_para_4d,seed=1",87532,4.724109172821045,150,42.63033723831177,1200.0,0.015405539696415265,0.00028189589599302657,0.09645331412553787,0.012691383715718985,0.016789755685924276,0.014092077172050873,0.00025669023181156567,0.09344229519367218,0.012307613479594389,1,1,1,1,82.07315063476562,250,574.9283444881439,1750.0,50.84803855895996,2.7906309661865234,4.815383113861084,1.0394334211349487,1.6705181729590741,50.771511810302734,2.513067094564438,4.812943916320801,0.9905206034183502,2,6,3,6,9.901854038238525,150,9.901854038238525,150.0,50.527897389729816,0.6967362244923909,6.773224261601766,0.8319117915630341,0.8347072687429953
"[0.001, 0.001, 0.001, 0.001]",7,False,,,8,15c6ad093b4c4a02a230f00c7a4af503,2020-10-20_04-59-01,1603169941,86.85541152954102,694.518415927887,392,d83e38022e39,192.168.99.4,694.518415927887,0,8,00020,"20_hypercubes=heat_para_4d,seed=1",87532,4.608138084411621,150,47.23847532272339,1350.0,0.014999652883658806,0.0002519898170915743,0.09555774822831153,0.012362516348560651,0.01587418713167935,0.014092077172050873,0.0002519898170915743,0.09344229519367218,0.012307613479594389,2,0,2,2,82.24636340141296,250,657.1747078895569,2000.0,50.79324572753906,2.7890416707992554,4.813322633743286,1.0389938988685608,1.6700424158683083,50.771511810302734,2.513067094564438,4.812943916320801,0.9905206034183502,3,7,4,7,9.901854038238525,150,9.901854038238525,150.0,50.527897389729816,0.6967362244923909,6.773224261601766,0.8319117915630341,0.8347072687429953
"[0.001, 0.001, 0.001, 0.001]",8,False,,,9,15c6ad093b4c4a02a230f00c7a4af503,2020-10-20_05-00-28,1603170028,86.96873259544373,781.4871485233307,392,d83e38022e39,192.168.99.4,781.4871485233307,0,9,00020,"20_hypercubes=heat_para_4d,seed=1",87532,4.7193217277526855,150,51.957797050476074,1500.0,0.011882827449589968,0.00021320855215890334,0.08570666740338008,0.011253727513055006,0.014601662650496462,0.011882827449589968,0.00021320855215890334,0.08570666740338008,0.011253727513055006,0,0,0,0,82.24833989143372,250,739.4230477809906,2250.0,50.80600668334961,2.7915799236297607,4.813834856033325,1.0390856375694275,1.6708021796818917,50.771511810302734,2.513067094564438,4.812943916320801,0.9905206034183502,4,8,5,8,9.901854038238525,150,9.901854038238525,150.0,50.527897389729816,0.6967362244923909,6.773224261601766,0.8319117915630341,0.8347072687429953
"[0.001, 0.001, 0.001, 0.001]",9,False,,,10,15c6ad093b4c4a02a230f00c7a4af503,2020-10-20_05-01-55,1603170115,86.8932158946991,868.3803644180298,392,d83e38022e39,192.168.99.4,868.3803644180298,0,10,00020,"20_hypercubes=heat_para_4d,seed=1",87532,4.800567150115967,150,56.75836420059204,1650.0,0.012619090701142947,0.00022767465095967056,0.08793350781003634,0.01153013847147425,0.015088891641193218,0.011882827449589968,0.00021320855215890334,0.08570666740338008,0.011253727513055006,1,1,1,1,82.09185147285461,250,821.5148992538452,2500.0,50.79694709777832,2.7872127170562746,4.812788387298584,1.0389500370025635,1.6694947490352507,50.771511810302734,2.513067094564438,4.812788387298584,0.9905206034183502,5,9,0,9,9.901854038238525,150,9.901854038238525,150.0,50.527897389729816,0.6967362244923909,6.773224261601766,0.8319117915630341,0.8347072687429953
"[0.001, 0.001, 0.001, 0.001]",10,False,,,11,15c6ad093b4c4a02a230f00c7a4af503,2020-10-20_05-03-22,1603170202,86.77968692779541,955.1600513458252,392,d83e38022e39,192.168.99.4,955.1600513458252,0,11,00020,"20_hypercubes=heat_para_4d,seed=1",87532,4.616305828094482,150,61.37467002868652,1800.0,0.01303569366534551,0.0002260674486751668,0.08872249037027359,0.011562716849148273,0.015035539520588106,0.011882827449589968,0.00021320855215890334,0.08570666740338008,0.011253727513055006,2,2,2,2,82.16249060630798,250,903.6773898601532,2750.0,50.80938233947754,2.7897488203048706,4.813970335006714,1.0391771836280823,1.670254118481637,50.771511810302734,2.513067094564438,4.812788387298584,0.9905206034183502,6,10,1,10,9.901854038238525,150,9.901854038238525,150.0,50.527897389729816,0.6967362244923909,6.773224261601766,0.8319117915630341,0.8347072687429953
"[0.001, 0.001, 0.001, 0.001]",11,False,,,12,15c6ad093b4c4a02a230f00c7a4af503,2020-10-20_05-04-49,1603170289,86.92800641059875,1042.088057756424,392,d83e38022e39,192.168.99.4,1042.088057756424,0,12,00020,"20_hypercubes=heat_para_4d,seed=1",87532,4.643516540527344,150,66.01818656921387,1950.0,0.012420784669617812,0.00021974261083717767,0.08761453082164129,0.011459261265893778,0.014823717848002156,0.011882827449589968,0.00021320855215890334,0.08570666740338008,0.011253727513055006,3,3,3,3,82.28363490104675,250,985.9610247612,3000.0,50.8619295501709,2.7931336765289307,4.817385559082031,1.039961941719055,1.6712670871314765,50.771511810302734,2.513067094564438,4.812788387298584,0.9905206034183502,7,11,2,11,9.901854038238525,150,9.901854038238525,150.0,50.527897389729816,0.6967362244923909,6.773224261601766,0.8319117915630341,0.8347072687429953
"[0.001, 0.001, 0.001, 0.001]",12,False,,,13,15c6ad093b4c4a02a230f00c7a4af503,2020-10-20_05-06-16,1603170376,86.76684474945068,1128.8549025058746,392,d83e38022e39,192.168.99.4,1128.8549025058746,0,13,00020,"20_hypercubes=heat_para_4d,seed=1",87532,4.594336748123169,150,70.61252331733704,2100.0,0.010430845400939385,0.00019602460059104488,0.08094159046808878,0.01074940949678421,0.014000878564970303,0.010430845400939385,0.00019602460059104488,0.08094159046808878,0.01074940949678421,0,0,0,0,82.17155718803406,250,1068.132581949234,3250.0,50.78693885803223,2.7930895223617553,4.8151962909698485,1.0396818890571595,1.6712538772914651,50.771511810302734,2.513067094564438,4.812788387298584,0.9905206034183502,8,12,3,12,9.901854038238525,150,9.901854038238525,150.0,50.527897389729816,0.6967362244923909,6.773224261601766,0.8319117915630341,0.8347072687429953
"[0.001, 0.001, 0.001, 0.001]",13,False,,,14,15c6ad093b4c4a02a230f00c7a4af503,2020-10-20_05-07-42,1603170462,86.75024843215942,1215.605150938034,392,d83e38022e39,192.168.99.4,1215.605150938034,0,14,00020,"20_hypercubes=heat_para_4d,seed=1",87532,4.734358549118042,150,75.34688186645508,2250.0,0.011237194929271936,0.00021870921084579702,0.08179691140850386,0.010878156001369158,0.014788820468373974,0.010430845400939385,0.00019602460059104488,0.08094159046808878,0.01074940949678421,1,1,1,1,82.01477289199829,250,1150.1473548412323,3500.0,50.78960388183594,2.7890081958770754,4.813017433166504,1.0391637930870057,1.6700323936609958,50.771511810302734,2.513067094564438,4.812788387298584,0.9905206034183502,9,13,4,13,9.901854038238525,150,9.901854038238525,150.0,50.527897389729816,0.6967362244923909,6.773224261601766,0.8319117915630341,0.8347072687429953
"[0.001, 0.001, 0.001, 0.001]",14,True,,,15,15c6ad093b4c4a02a230f00c7a4af503,2020-10-20_05-09-09,1603170549,86.8023931980133,1302.4075441360474,392,d83e38022e39,192.168.99.4,1302.4075441360474,0,15,00020,"20_hypercubes=heat_para_4d,seed=1",87532,4.633968830108643,150,79.98085069656372,2400.0,0.0093199824479719,0.00016749339314022413,0.07536668573816617,0.009890034012496472,0.012941923857766439,0.0093199824479719,0.00016749339314022413,0.07536668573816617,0.009890034012496472,0,0,0,0,82.16756629943848,250,1232.3149211406708,3750.0,50.84717630004883,2.793114389419556,4.816826210021973,1.0398202095031739,1.6712613169159263,50.771511810302734,2.513067094564438,4.812788387298584,0.9905206034183502,10,14,5,14,9.901854038238525,150,9.901854038238525,150.0,50.527897389729816,0.6967362244923909,6.773224261601766,0.8319117915630341,0.8347072687429953
